year,location,name,school,medal,score,rank,team
1987,,Đoàn Quốc Chiến,THPT chuyên KHTN ĐHQG HN,HCĐ,25/42,86,
1987,,Phan Phương Đạt,THPT chuyên Hà Nội-Amsterdam,HCĐ,29/42,72,
1987,,Phạm Triều Dương,THPT chuyên Hà Nội-Amsterdam,HCĐ,28/42,78,
1987,,Nguyễn Văn Quang,"THPT chuyên Lam Sơn, Thanh Hóa",HCĐ,30/42,69,
1987,,Nguyễn Hữu Tuấn,THPT chuyên KHTN ĐHQG HN,HCĐ,22/42,95,
1988,"Úc, Canberra",Ngô Bảo Châu,THPT chuyên KHTN ĐHQG HN,HCV,42/42,1,05/49 (166)
1988,,Phan Phương Đạt,THPT chuyên Hà Nội-Amsterdam,HCB,29/42,31,
1988,,Trần Thanh Hải,"THPT chuyên Lê Hồng Phong, TP HCM",HCB,29/42,31,
1988,,Trần Trọng Hùng,"THPT chuyên ĐH Sư phạm Hà Nội",HCB,26/42,47,
1988,,Hồ Thanh Tùng,THPT chuyên Hà Nội-Amsterdam,HCB,28/42,38,
1988,,Đoàn Hồng Nghĩa,"THPT chuyên Lê Hồng Phong, TP HCM",Không,12/42,140,
1989,"Tây Đức, Braunschweig",Ngô Bảo Châu,THPT chuyên KHTN ĐHQG HN,HCV,40/42,17,09/50 (183)
1989,,Đinh Tiến Cường,"THPT chuyên ĐH Sư phạm Hà Nội",HCV,42/42,1,
1989,,Bùi Hải Hưng,THPT chuyên KHTN ĐHQG HN,HCB,34/42,41,
1989,,Hà Huy Minh,THPT chuyên KHTN ĐHQG HN,HCĐ,27/42,88,
1989,,Trần Trọng Thắng,"THPT năng khiếu Trần Phú, Hải Phòng",HCĐ,21/42,122,
1989,,Đoàn Hồng Nghĩa,"THPT chuyên Lê Hồng Phong, TP HCM",HCĐ,19/42,134,
1990,"Trung Quốc, Bắc Kinh",Phạm Xuân Du,THPT chuyên KHTN ĐHQG HN,HCB,24/42,63,23/54 (104)
1990,,Phan Thị Hà Dương,THPT chuyên Hà Nội-Amsterdam,HCĐ,19/42,106,
1990,,Lê Tường Lân,"THPT chuyên ĐH Sư phạm Hà Nội",HCĐ,16/42,139,
1990,,Vũ Xuân Hạ,"THPT chuyên Lam Sơn, Thanh Hóa",HCĐ,19/42,106,
1990,,Vũ Hoàng Huy,THPT chuyên Thái Bình,Không,15/42,156,
1990,,Hà Huy Tài,THPT chuyên KHTN ĐHQG HN,Không,11/42,216,
1991,"Thụy Điển, Sigtuna",Nguyễn Việt Anh,"THPT chuyên ĐH Sư phạm Hà Nội",HCB,38/42,21,08/56 (191)
1991,,Đỗ Ngọc Minh,"THPT chuyên Lam Sơn, Thanh Hóa",HCB,38/42,21,
1991,,Hà Huy Tài,THPT chuyên KHTN ĐHQG HN,HCB,36/42,39,
