DEN,65,81,69,67,77,61,50,45,57,54,65,69,44,68,66,55,68,61,54,66,57,48,49,57,32,41,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU,78,83,80,89,69,71,83,76,78,82,74,70,74,81,77,82,83,74,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGY,110,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,55,49,72,48,59,60,48,46,55,43,66,44,58,55,46,60,58,68,46,58,64,48,51,62,45,37,40,35,39,41,22,23,35,27,23,,,,,,,,,,,,,,,,,,,,,,,
EST,71,61,70,74,55,68,50,63,71,73,57,44,45,44,54,40,37,58,69,43,53,55,56,44,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,84,71,82,70,67,65,57,72,67,74,61,39,55,63,55,38,63,52,43,63,34,39,36,48,52,49,40,43,40,27,26,27,34,29,13,8,13,18,13,16,16,,16,14,,,,,,,,10,,,,,,
FRA,39,25,14,45,21,38,34,30,31,30,43,28,32,38,24,19,28,48,33,26,32,36,30,19,17,10,13,5,13,9,12,12,9,12,10,15,11,11,8,14,6,9,8,6,,13,9,10,,13,,,,,,,,
GDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,7,4,5,8,8,12,3,,6,,8,8,2,4,3,3,3,2,2,1,2,3,5,6,7,7,5,5,7
GEO,12,59,42,47,51,59,57,34,25,42,26,33,37,28,32,34,38,36,38,36,28,30,48,39,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,33,19,27,16,27,31,11,9,9,20,15,4,12,25,17,10,14,20,17,16,13,10,15,11,2,7,4,12,8,4,2,3,7,9,1,1,2,3,6,7,,,,,,,,,,,,,,,,,,
GHA,108,104,101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,97,,,,,93,96,91,91,90,,,83,,,81,76,79,75,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEL,12,50,51,41,38,26,40,37,41,39,33,56,50,26,30,47,30,56,47,32,45,22,54,42,,45,33,42,20,27,20,26,20,19,17,23,22,20,,,17,15,,,,,,,,,,,,,,,,
HKG,26,9,28,18,31,27,14,20,29,28,12,14,17,30,28,24,19,28,33,25,30,27,20,18,33,26,29,22,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,104,100,,,97,92,97,,81,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,35,30,15,29,30,25,36,32,32,38,46,54,33,40,33,45,35,34,41,22,24,34,32,43,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,22,14,20,15,22,38,25,13,19,10,16,17,9,7,10,12,21,9,11,3,2,3,5,5,8,8,6,6,10,16,6,8,3,4,3,6,17,8,,3,7,1,3,2,2,1,1,1,3,3,2,2,2,2,1,1,2,2
IDN,31,20,29,29,19,35,29,30,43,36,52,,42,54,37,64,59,51,64,68,63,70,53,60,70,53,48,51,49,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,52,34,37,39,29,11,23,36,28,31,25,35,36,14,15,9,7,14,18,7,15,14,14,16,15,21,10,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,62,75,77,64,76,78,87,89,89,70,63,67,51,66,74,70,63,69,62,58,68,61,61,49,50,41,44,40,45,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,5,24,7,21,10,8,10,16,15,5,12,8,4,9,17,11,18,10,8,1,3,9,8,8,6,14,8,14,14,20,26,,31,,,,,,,,,,,,,,,,,,,,,,,,,
IRQ,102,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
